TimeStamp,Voltage,Current,RealPower,PowerFactor,ApparantPower,Reactivepower,Frequency,Remarks
2021-08-10 09:03:09.320344,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.324366,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.327573,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.331745,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.335499,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.339437,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.343340,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.347439,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.350985,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.354567,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.358500,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.362571,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.366277,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.369718,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.373580,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.377601,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.381481,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.385468,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.388727,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.392630,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.396555,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.400720,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.404611,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.408457,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.411818,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.415620,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.419556,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.423491,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.427448,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.431341,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.434761,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.438626,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.442579,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.446431,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.450296,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.453739,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.457593,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.461575,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.465452,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.469334,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.473247,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.476543,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.480443,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.484413,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.488418,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.492346,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.495661,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.499568,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
2021-08-10 09:03:09.503596,224.06,0.71,164.00,0.90,181.22,77.09,50.02,
